signal_date,main_strategy_target,expanded_strategy_target,state,expanded_target_is_new_etf,combined_target_count
2023-11-08,513200.SH,513200.SH,same_etf,False,1
2023-11-09,513200.SH,513200.SH,same_etf,False,1
2023-11-10,513200.SH,513200.SH,same_etf,False,1
2023-11-13,513200.SH,513200.SH,same_etf,False,1
2023-11-14,513200.SH,513200.SH,same_etf,False,1
2023-11-15,513200.SH,513200.SH,same_etf,False,1
2023-11-16,513200.SH,513200.SH,same_etf,False,1
2023-11-17,513200.SH,513200.SH,same_etf,False,1
2023-11-20,513200.SH,513200.SH,same_etf,False,1
2023-11-21,513200.SH,513200.SH,same_etf,False,1
2023-11-22,513200.SH,513200.SH,same_etf,False,1
2023-11-23,513200.SH,513200.SH,same_etf,False,1
2023-11-24,513200.SH,513200.SH,same_etf,False,1
2023-11-27,513310.SH,513310.SH,same_etf,False,1
2023-11-28,513310.SH,513310.SH,same_etf,False,1
2023-11-29,513310.SH,513310.SH,same_etf,False,1
2023-11-30,513310.SH,513310.SH,same_etf,False,1
2023-12-01,513310.SH,513310.SH,same_etf,False,1
2023-12-04,CASH,CASH,both_cash,False,0
2023-12-05,CASH,CASH,both_cash,False,0
2023-12-06,159941.SZ,159941.SZ,same_etf,False,1
2023-12-07,159941.SZ,159941.SZ,same_etf,False,1
2023-12-08,159941.SZ,159941.SZ,same_etf,False,1
2023-12-11,159941.SZ,159941.SZ,same_etf,False,1
2023-12-12,159941.SZ,159941.SZ,same_etf,False,1
2023-12-13,159941.SZ,159941.SZ,same_etf,False,1
2023-12-14,159941.SZ,159941.SZ,same_etf,False,1
2023-12-15,159941.SZ,159941.SZ,same_etf,False,1
2023-12-18,159941.SZ,159941.SZ,same_etf,False,1
2023-12-19,159941.SZ,159941.SZ,same_etf,False,1
2023-12-20,159941.SZ,159941.SZ,same_etf,False,1
2023-12-21,159941.SZ,159941.SZ,same_etf,False,1
2023-12-22,159941.SZ,159941.SZ,same_etf,False,1
2023-12-25,159941.SZ,159941.SZ,same_etf,False,1
2023-12-26,159941.SZ,159941.SZ,same_etf,False,1
2023-12-27,159941.SZ,159941.SZ,same_etf,False,1
2023-12-28,159941.SZ,159941.SZ,same_etf,False,1
2023-12-29,159941.SZ,159941.SZ,same_etf,False,1
2024-01-02,159941.SZ,159941.SZ,same_etf,False,1
2024-01-03,159941.SZ,159941.SZ,same_etf,False,1
2024-01-04,518880.SH,513520.SH,different_etfs,True,2
2024-01-05,518880.SH,513520.SH,different_etfs,True,2
2024-01-08,518880.SH,513520.SH,different_etfs,True,2
