,baseline,rank5_1d,rank5_2d,gap3_1d,gap3_2d,gap5_1d,gap5_2d,gap10_1d,gap10_2d,rank8_gap5_1d,rank8_gap5_2d,top1_gap5_1d,top1_gap5_2d
2024-08-16,164362.52883971538,137087.9818269449,170010.78128256873,135363.74026637155,168869.04384084867,136910.80178613184,168869.04384084867,138246.23790900852,164102.84889752758,157506.52274121885,164362.52883971538,167694.54272827078,164362.52883971538
2024-08-19,164462.91425961987,137171.5826002257,170114.5916044007,135446.29091153987,168972.07855215814,136994.2892717414,168972.07855215814,138330.50100514057,164202.9597998421,157602.5464187546,164462.91425961987,167796.915116729,164462.91425961987
2024-08-20,164462.91425961987,137171.5826002257,170114.5916044007,135446.29091153987,168972.07855215814,136994.2892717414,168972.07855215814,138330.50100514057,164202.9597998421,157602.5464187546,164462.91425961987,167796.915116729,164462.91425961987
2024-08-21,165178.11926145092,137766.78676282335,170853.79677407842,136034.29502378352,169706.48368826654,137589.49343433906,169706.48368826654,138930.50520130756,164915.76478488848,158286.55120238496,165178.11926145092,168526.52021926807,165178.11926145092
2024-08-22,164760.90687055126,137419.5764509337,170422.58396737676,135691.28483663447,169278.07096472528,137242.28312244941,169278.07096472528,138580.4948062575,164499.95243556902,157887.5393520279,164760.90687055126,168100.9075788872,164760.90687055126
2024-08-23,164194.71948880688,136948.38695203234,169837.39700906377,135225.79521070368,168696.683921726,136771.09362354805,168696.683921726,138105.50539204243,163935.6650114815,157346.0514198227,164194.71948880688,167523.32045120167,164194.71948880688
2024-08-26,165207.91710156933,137791.584965338,170884.59454171758,136058.79324804194,169737.08147040155,137614.2916368537,169737.08147040155,138955.50338932636,164945.4626322548,158315.0491367264,165207.91710156933,168556.91801589893,165207.91710156933
2024-08-27,165088.71153134838,137692.38032971788,170761.38878457647,135960.78866849787,169614.67575064447,137515.0870012336,169614.67575064447,138855.4987163222,164826.65708072588,158201.04380950166,165088.71153134838,168435.3123335259,165088.71153134838
2024-08-28,164909.91028089062,137543.57928906847,170576.58749215704,135813.78764043696,169431.07446661737,137366.28596058418,169431.07446661737,138705.49766728046,164648.4558344643,158030.04261359407,164909.91028089062,168252.91105789112,164909.91028089062
2024-08-29,165118.5093714668,137717.17853223253,170792.18655221563,135985.2868927563,169645.27353277948,137539.88520374824,169645.27353277948,138880.496904341,164856.35492809222,158229.5417438431,165118.5093714668,168465.71013015675,165118.5093714668
2024-08-30,164731.10903043285,137394.77824841905,170391.7861997376,135666.78661237605,169247.47318259027,137217.48491993477,169247.47318259027,138555.4966182387,164470.2545882027,157859.04141768647,164731.10903043285,168070.50978225635,164731.10903043285
2024-09-02,163807.31914777294,136625.98666821886,169436.99665658575,134907.29493032343,168298.8835715368,136448.69333973457,168298.8835715368,137780.50510594013,163549.56467159197,156975.5510936661,163807.31914777294,167128.12010330128,163807.31914777294
2024-09-03,164105.31175870434,136873.98051892687,169744.98901956182,135152.28885541804,168604.87598410394,136696.68719044258,168604.87598410394,138030.49890705707,163846.5573073189,157260.5440269394,164105.31175870434,167432.11256545948,164105.31175870434
2024-09-04,162972.90857572094,135931.57787000109,168574.5857297669,134221.28623853571,167442.07271567133,135754.2845415168,167442.07271567133,137080.496236769,162717.95413501665,156177.54098281098,162972.90857572094,166276.90931838917,162972.90857572094
2024-09-05,164135.10959882275,136898.77872144151,169775.78678720098,135176.78707967646,168635.47376623895,136721.48539295723,168635.47376623895,138055.49709507587,163876.25515468523,157289.04196128083,164135.10959882275,167462.51036209034,164135.10959882275
2024-09-06,164582.1198298408,137270.7872358458,170237.7973615418,135544.29549108393,169094.48427191522,137093.49390736152,169094.48427191522,138430.50567814472,164321.76535137102,157716.55174597932,164582.1198298408,167918.52079910206,164582.1198298408
2024-09-09,163390.1209666206,136278.78818189073,169005.79853646856,134564.29642568476,167870.48543921259,136101.49485340645,167870.48543921259,137430.50663181904,163133.7664843361,156576.55283316804,163390.1209666206,166702.52195877003,163390.1209666206
2024-09-10,164462.91425961987,137171.5826002257,170114.5916044007,135446.29091153987,168972.07855215814,136994.2892717414,168972.07855215814,138330.50100514057,164202.9597998421,157602.5464187546,164462.91425961987,167796.915116729,164462.91425961987
2024-09-11,165327.10846204296,137890.7777753966,171007.78561227422,136156.78614507563,169859.4725989416,137713.4844469123,169859.4725989416,139055.49614140156,165064.25402172015,158429.0408740921,165327.10846204296,168678.50920242237,165327.10846204296
2024-09-12,164999.31801099316,137617.98572217394,170668.995481659,135887.2939957226,169522.88240423944,137440.69239368965,169522.88240423944,138780.5041522658,164737.56353862688,158115.55000647737,164999.31801099316,168344.1189436333,164999.31801099316
2024-09-13,167383.3157374336,139601.9838300841,173132.99313180547,137847.29212652094,171970.8800696447,139424.6905015998,171970.8800696447,140780.50224491718,167113.5612726967,160395.54783209992,167383.3157374336,170776.11662429737,167383.3157374336
2024-09-18,167323.72005719677,139552.3874250548,173071.39759652715,137798.2956780041,171909.6845053747,139375.0940965705,171909.6845053747,140730.50586887958,167054.16557796404,160338.55196341706,167323.72005719677,170715.32103103565,167323.72005719677
2024-09-19,167055.51107663647,139329.1799512999,172794.18831460577,137577.78829465754,171634.27528372552,139151.88662281563,171634.27528372552,140505.49833485248,166786.85662753985,160082.04337462617,167055.51107663647,170441.7118696587,167055.51107663647
2024-09-20,168932.91710156933,140891.584965338,174734.59454171758,139121.29324804194,173562.08147040155,140714.2916368537,173562.08147040155,142080.50338932636,168657.9626322548,161877.5491367264,168932.91710156933,172356.91801589893,168932.91710156933
