date,price_core,core_plus_weak_edge,core_plus_entry_exceptions,full_strategy
2024-03-15,156335.2524765423,156335.2524765423,156335.2524765423,153291.69987445563
2024-03-18,160243.26039633065,160243.26039633065,160243.26039633065,157123.7076402256
2024-03-19,160731.75410708692,160731.75410708692,160731.75410708692,157602.7014732906
2024-03-20,160243.26039633065,160243.26039633065,160243.26039633065,157123.7076402256
2024-03-21,158777.75014719274,158777.75014719274,158777.75014719274,155686.69759040562
2024-03-22,158289.25643643647,158289.25643643647,158289.25643643647,155207.7037573406
2024-03-25,153892.7548058918,153892.7548058918,153892.7548058918,150896.70215850562
2024-03-26,151938.75084599762,151938.75084599762,151938.75084599762,148980.69827562064
2024-03-27,147737.5466369096,147737.5466369096,147737.5466369096,144893.49401443818
2024-03-28,150285.16525722793,150285.16525722793,150285.16525722793,147396.21063363846
2024-03-29,155456.5621385699,155456.5621385699,155456.5621385699,152465.60757649242
2024-04-01,158498.57736922556,158498.57736922556,158498.57736922556,155447.62250674068
2024-04-02,160171.6648945933,160171.6648945933,160171.6648945933,157087.7102781564
2024-04-03,165647.2669253474,165647.2669253474,165647.2669253474,162455.31226885616
2024-04-08,165190.9637341624,165190.9637341624,165190.9637341624,162008.00914061366
2024-04-09,165799.3740329867,165799.3740329867,165799.3740329867,162604.41923630534
2024-04-10,166864.06939126307,166864.06939126307,166864.06939126307,163648.11468613445
2024-04-11,166407.76620007807,166407.76620007807,166407.76620007807,163200.81155789195
2024-04-12,168080.87185717875,168080.87185717875,168080.87185717875,164840.91710341274
2024-04-15,167928.76474953943,167928.76474953943,167928.76474953943,164691.81013596355
2024-04-16,160475.86097813898,160475.86097813898,160475.86097813898,157385.9064389497
2024-04-17,163088.38293054528,163088.38293054528,163088.38293054528,159948.38112568727
2024-04-18,164440.3816411776,164440.3816411776,164440.3816411776,161274.37986111513
2024-04-19,164169.98512247033,164169.98512247033,164169.98512247033,161009.18327545992
2024-04-22,162817.986411838,162817.986411838,162817.986411838,159683.18454003206
2024-04-23,162817.986411838,162817.986411838,162817.986411838,159683.18454003206
2024-04-24,162277.19337442346,162277.19337442346,162277.19337442346,159152.79136872164
2024-04-25,162026.56740171293,162026.56740171293,162026.56740171293,158912.03671750083
2024-04-26,163076.7338003451,163076.7338003451,163076.7338003451,159962.10982846178
2024-04-29,163181.0359814454,163181.0359814454,163181.0359814454,160066.07214654837
2024-04-30,164882.824582545,164882.824582545,164882.824582545,161767.76745997675
2024-05-06,167986.27245599468,167986.27245599468,167986.27245599468,164870.50560739904
2024-05-07,171388.5307559377,171388.5307559377,171388.5307559377,168272.67061967083
2024-05-08,169698.30985168344,169698.30985168344,169698.30985168344,166621.6757963134
2024-05-09,174394.81259683496,174394.81259683496,174394.81259683496,171231.37849072943
2024-05-10,181515.30219415552,181515.30219415552,181515.30219415552,178220.26828031073
2024-05-13,189696.3052282704,189696.3052282704,189696.3052282704,186250.07125834955
2024-05-14,182878.811729945,182878.811729945,182878.811729945,179558.5776398612
2024-05-15,182272.80147174723,182272.80147174723,182272.80147174723,178963.76757125388
2024-05-16,183333.31490854154,183333.31490854154,183333.31490854154,180004.6807597114
2024-05-17,185302.8166423214,185302.8166423214,185302.8166423214,181937.78246144782
2024-05-20,187423.80739549524,187423.80739549524,187423.80739549524,184019.57338552008
2024-05-21,184848.31346372492,184848.31346372492,184848.31346372492,181491.67934159766
2024-05-22,184696.80638412363,184696.80638412363,184696.80638412363,181342.9723928405
2024-05-23,184090.8141861332,184090.8141861332,184090.8141861332,180748.1800506545
2024-05-24,182121.3124523533,182121.3124523533,182121.3124523533,178815.07834891806
2024-05-27,187120.81129650003,187120.81129650003,187120.81129650003,183722.1772144271
2024-05-28,189999.30132726557,189999.30132726557,189999.30132726557,186547.4674294425
