datetime,v4,formal_f,different
2023-12-12,CASH,159941.SZ,True
2023-12-13,CASH,159941.SZ,True
2023-12-14,CASH,159941.SZ,True
2023-12-15,CASH,159941.SZ,True
2024-01-03,513520.SH,159941.SZ,True
2024-01-04,513520.SH,518880.SH,True
2024-01-05,513520.SH,518880.SH,True
2024-01-08,513520.SH,518880.SH,True
2024-01-09,513520.SH,518880.SH,True
2024-01-10,513520.SH,518880.SH,True
2024-01-11,513520.SH,518880.SH,True
2024-01-12,513520.SH,518880.SH,True
2024-01-15,513520.SH,518880.SH,True
2024-01-16,513520.SH,518880.SH,True
2024-01-17,513520.SH,518880.SH,True
2024-01-18,513520.SH,518880.SH,True
2024-01-19,513520.SH,518880.SH,True
2024-01-22,513520.SH,513500.SH,True
2024-01-23,513520.SH,513500.SH,True
2024-01-24,513520.SH,513500.SH,True
2024-01-25,513520.SH,512800.SH,True
2024-01-26,513520.SH,512800.SH,True
2024-01-29,513520.SH,512800.SH,True
2024-01-30,513520.SH,512800.SH,True
2024-01-31,513520.SH,512800.SH,True
2024-02-01,513520.SH,512800.SH,True
2024-02-02,513520.SH,512800.SH,True
2024-02-05,513520.SH,512800.SH,True
2024-02-06,513520.SH,512800.SH,True
2024-02-07,CASH,512800.SH,True
2024-02-08,CASH,512800.SH,True
2024-02-19,CASH,512800.SH,True
2024-02-20,CASH,512800.SH,True
2024-02-21,CASH,512800.SH,True
2024-02-22,CASH,512800.SH,True
2024-02-23,CASH,512800.SH,True
2024-02-26,CASH,512800.SH,True
2024-02-27,CASH,512800.SH,True
2024-02-28,CASH,512800.SH,True
2024-02-29,CASH,512800.SH,True
2024-03-01,CASH,512800.SH,True
2024-03-04,CASH,515050.SH,True
2024-03-05,CASH,515050.SH,True
2024-03-06,CASH,515050.SH,True
2024-03-07,CASH,515050.SH,True
2024-03-08,CASH,515050.SH,True
2024-04-16,CASH,512800.SH,True
2024-04-17,CASH,512800.SH,True
2024-04-18,CASH,512800.SH,True
2024-04-19,CASH,512800.SH,True
2024-04-22,CASH,512800.SH,True
2024-04-23,CASH,512800.SH,True
2024-04-24,CASH,513530.SH,True
2024-07-22,CASH,513500.SH,True
2024-07-23,512760.SH,513500.SH,True
2024-07-24,512760.SH,513500.SH,True
