,equity
2021-04-22,102816.14398025686
2021-04-23,101640.71510288471
2021-04-26,102332.32615995775
2021-04-27,102714.1229230967
2021-04-28,102469.23059979896
2021-04-29,102468.86758178346
2021-04-30,102472.03936260537
2021-05-06,102496.17004753687
2021-05-07,102499.34182835878
2021-05-10,102510.89717082454
2021-05-11,102514.06895164645
2021-05-12,102517.24073246836
2021-05-13,102520.41251329027
2021-05-14,102523.58429411218
2021-05-17,102535.13963657794
2021-05-18,102538.31141739985
2021-05-19,102541.48319822176
2021-05-20,102544.65497904367
2021-05-21,102547.82675986558
2021-05-24,102559.38210233134
2021-05-25,102562.55388315325
2021-05-26,102565.72566397516
2021-05-27,102568.89744479707
2021-05-28,102572.06922561898
2021-05-31,102583.62456808474
2021-06-01,102586.79634890665
2021-06-02,102589.96812972856
2021-06-03,102593.13991055047
2021-06-04,102596.31169137238
2021-06-07,102607.86703383813
2021-06-08,101182.95450565509
2021-06-09,102138.75169512919
2021-06-10,103572.4522268503
2021-06-11,101501.5598988264
2021-06-15,103253.85632869891
2021-06-16,100386.45526525668
2021-06-17,109147.95640465907
2021-06-18,110263.05154320887
2021-06-21,110740.95488545588
2021-06-22,110263.05154320887
2021-06-23,115360.65237877062
2021-06-24,113130.4526066511
2021-06-25,114723.46058246783
2021-06-28,116475.75701234034
2021-06-29,115201.35442969493
2021-06-30,120776.85860750369
2021-07-01,117431.55420181445
2021-07-02,115201.35442969493
2021-07-05,120936.15655657939
2021-07-06,118705.95678445986
2021-07-07,121414.0598988264
2021-07-08,125555.85404989413
2021-07-09,124281.45146724871
2021-07-12,125555.85404989413
2021-07-13,119343.15807578257
2021-07-14,117909.45754406146
2021-07-15,118546.65883538417
2021-07-16,116635.05496141604
2021-07-19,116794.35291049174
2021-07-20,119821.05192300967
2021-07-21,124600.05686042002
2021-07-22,128741.86050650767
2021-07-23,129060.45640465907
2021-07-26,131609.25207493
2021-07-27,131449.9541258543
2021-07-28,128104.65921518496
2021-07-29,138140.55344221287
2021-07-30,140052.157316181
2021-08-02,136866.16035458737
2021-08-03,128104.65921518496
2021-08-04,133680.15389797383
2021-08-05,133680.15389797383
