datetime,primary,formal_f,different
2021-07-19,CASH,512760.SH,True
2021-07-20,CASH,512760.SH,True
2021-07-21,CASH,512760.SH,True
2021-07-22,CASH,512760.SH,True
2021-07-23,CASH,512760.SH,True
2021-07-26,CASH,512760.SH,True
2021-07-27,CASH,512760.SH,True
2021-07-28,CASH,512760.SH,True
2021-07-29,CASH,512760.SH,True
2021-07-30,CASH,512760.SH,True
2021-08-02,CASH,512760.SH,True
2021-08-03,CASH,512760.SH,True
2021-08-04,CASH,512760.SH,True
2021-08-05,CASH,512760.SH,True
2021-08-06,CASH,512760.SH,True
2021-08-09,CASH,512760.SH,True
2021-08-10,CASH,512760.SH,True
2021-08-11,CASH,512760.SH,True
2021-08-12,CASH,512760.SH,True
2021-08-13,CASH,512760.SH,True
2021-08-16,CASH,512760.SH,True
2021-08-17,513500.SH,512760.SH,True
2021-08-18,513500.SH,CASH,True
2021-08-25,510880.SH,CASH,True
2021-08-26,510880.SH,CASH,True
2021-08-27,510880.SH,CASH,True
2021-08-30,510880.SH,CASH,True
2021-08-31,510880.SH,CASH,True
2021-09-01,510880.SH,CASH,True
2021-09-02,510880.SH,CASH,True
2021-09-03,510880.SH,CASH,True
2021-09-06,510880.SH,CASH,True
2021-09-07,510880.SH,CASH,True
2021-09-08,510880.SH,CASH,True
2021-09-09,510880.SH,CASH,True
2021-09-10,510880.SH,CASH,True
2021-09-13,510880.SH,CASH,True
2021-09-14,510880.SH,CASH,True
2021-09-15,510880.SH,CASH,True
2021-09-16,510880.SH,CASH,True
2021-09-17,510880.SH,CASH,True
2021-09-22,510880.SH,CASH,True
2021-09-23,510880.SH,CASH,True
2021-10-27,CASH,159865.SZ,True
2021-10-28,CASH,510630.SH,True
2021-10-29,CASH,510630.SH,True
2021-11-01,CASH,510630.SH,True
2021-11-02,CASH,510630.SH,True
2021-11-03,CASH,510630.SH,True
2021-11-04,CASH,510630.SH,True
2021-11-05,513500.SH,510630.SH,True
2021-11-08,513500.SH,510630.SH,True
2021-11-09,513500.SH,510630.SH,True
2021-11-10,513500.SH,512980.SH,True
2021-11-11,513500.SH,512980.SH,True
2021-11-12,513500.SH,512980.SH,True
2021-11-15,513500.SH,512980.SH,True
2021-11-16,513500.SH,159865.SZ,True
2021-11-17,513500.SH,159865.SZ,True
2021-11-18,513500.SH,159865.SZ,True
