date,regime,rows,dde_present
2026-01-15,keyword_proxy,63,63
2026-01-16,keyword_proxy,67,67
2026-01-19,keyword_proxy,102,102
2026-01-20,keyword_proxy,61,61
2026-01-21,keyword_proxy,87,87
2026-01-22,keyword_proxy,91,91
2026-01-23,keyword_proxy,119,119
2026-01-26,keyword_proxy,77,77
2026-01-27,keyword_proxy,59,59
2026-01-28,keyword_proxy,84,84
2026-01-29,keyword_proxy,86,86
2026-01-30,keyword_proxy,57,57
2026-02-02,keyword_proxy,44,44
2026-02-03,keyword_proxy,82,82
2026-02-04,keyword_proxy,77,77
2026-02-05,keyword_proxy,56,56
2026-02-06,keyword_proxy,61,61
2026-02-09,keyword_proxy,96,96
2026-02-10,keyword_proxy,71,71
2026-02-11,keyword_proxy,60,60
2026-02-12,keyword_proxy,69,69
2026-02-13,keyword_proxy,46,46
2026-02-24,keyword_proxy,108,108
2026-02-25,keyword_proxy,101,101
2026-02-26,keyword_proxy,78,78
2026-02-27,keyword_proxy,91,91
2026-03-02,keyword_proxy,93,93
2026-03-03,keyword_proxy,79,79
2026-03-04,keyword_proxy,46,46
2026-03-05,keyword_proxy,78,78
2026-03-06,keyword_proxy,88,88
2026-03-09,keyword_proxy,50,50
2026-03-10,keyword_proxy,70,70
2026-03-11,keyword_proxy,67,67
2026-03-12,keyword_proxy,64,64
2026-03-13,keyword_proxy,68,68
2026-03-16,keyword_proxy,60,60
2026-03-17,keyword_proxy,52,52
2026-03-18,keyword_proxy,70,70
2026-03-19,keyword_proxy,36,36
2026-03-20,keyword_proxy,39,39
2026-03-23,keyword_proxy,38,38
2026-03-24,keyword_proxy,100,100
2026-03-25,keyword_proxy,105,105
2026-03-26,keyword_proxy,51,51
2026-03-27,keyword_proxy,93,93
2026-03-30,keyword_proxy,76,76
2026-03-31,keyword_proxy,59,59
2026-04-01,keyword_proxy,65,65
2026-04-02,keyword_proxy,31,31
2026-04-03,keyword_proxy,38,38
2026-04-07,keyword_proxy,101,101
2026-04-08,keyword_proxy,134,134
2026-04-09,keyword_proxy,61,61
2026-04-10,keyword_proxy,77,77
2026-04-13,keyword_proxy,86,86
2026-04-14,keyword_proxy,71,71
2026-04-15,keyword_proxy,68,68
2026-04-16,keyword_proxy,88,88
2026-04-17,keyword_proxy,74,74
2026-04-20,keyword_proxy,90,90
2026-04-21,keyword_proxy,65,65
2026-04-22,keyword_proxy,62,62
2026-04-23,keyword_proxy,58,58
2026-04-24,keyword_proxy,68,68
2026-04-27,keyword_proxy,84,84
2026-04-28,keyword_proxy,75,75
2026-04-29,keyword_proxy,118,118
2026-04-30,keyword_proxy,97,97
2026-05-06,keyword_proxy,124,124
2026-05-07,keyword_proxy,126,126
2026-05-08,keyword_proxy,125,125
