date,baseline,rank_2d,gap5_2d,combined5_1d,combined5_2d,combined5_3d,combined8_2d,combined10_2d,combined5_roc3_2d
2024-12-18,171783.92033401423,249425.8493713063,216258.6387761832,253559.79221714227,249425.8493713063,174115.42419384865,249425.8493713063,249425.8493713063,244871.59644732805
2024-12-19,171789.2377312745,249433.59224801863,216265.35548851197,253567.65947741625,249433.59224801863,174120.83487878015,249433.59224801863,249433.59224801863,244879.18384458832
2024-12-20,171794.5551285348,249441.33512473095,216272.07220084075,253575.52673769023,249441.33512473095,174126.24556371165,249441.33512473095,249441.33512473095,244886.7712418486
2024-12-23,171813.92732031562,249469.54375486795,216296.54233782704,253604.18851851215,249469.54375486795,174145.95761850616,249469.54375486795,249469.54375486795,244914.4134336294
2024-12-24,171819.2447175759,249477.28663158027,216303.25905015582,253612.05577878613,249477.28663158027,174151.36830343766,249477.28663158027,249477.28663158027,244922.00083088968
2024-12-25,171824.56211483618,249485.0295082926,216309.9757624846,253619.92303906012,249485.0295082926,174156.77898836916,249485.0295082926,249485.0295082926,244929.58822814995
2024-12-26,171829.87951209646,249492.7723850049,216316.69247481338,253627.7902993341,249492.7723850049,174162.18967330066,249492.7723850049,249492.7723850049,244937.17562541022
2024-12-27,171835.19690935675,249500.51526171723,216323.40918714216,253635.65755960808,249500.51526171723,174167.60035823216,249500.51526171723,249500.51526171723,244944.7630226705
2024-12-30,171854.56910113757,249528.72389185423,216347.87932412844,253664.31934043,249528.72389185423,174187.31241302667,249528.72389185423,249528.72389185423,244972.4052144513
2024-12-31,171859.88649839786,249536.46676856655,216354.59603645722,253672.18660070398,249536.46676856655,174192.72309795817,249536.46676856655,249536.46676856655,244979.99261171158
2025-01-02,171872.2312929184,249554.4425219912,216370.18946111476,253690.4511212519,249554.4425219912,174205.28446782118,249554.4425219912,249554.4425219912,244997.60740623213
2025-01-03,170438.6573536886,247472.35253080932,214565.35233253875,251573.77675096566,247472.35253080932,172752.31819511674,247472.35253080932,247472.35253080932,242953.72425222912
2025-01-06,172092.7501423849,249874.7420571765,216647.84325355926,254016.06610338265,249874.7420571765,174428.81088615677,249874.7420571765,249874.7420571765,245312.01397085705
2025-01-07,173037.95205788745,251247.54483923523,217837.8456651632,255411.66893164688,251247.54483923523,175386.81282759926,251247.54483923523,251247.54483923523,246659.6167018465
2025-01-08,174455.7478888525,253306.73878416626,219622.84041637817,257505.06277601296,253306.73878416626,176823.8086021068,253306.73878416626,253306.73878416626,248681.01075792828
2025-01-09,173274.2490156187,251590.74042067138,218135.3418349687,255760.5644396978,251590.74042067138,175626.30974413178,251590.74042067138,251590.74042067138,246996.51236439266
2025-01-10,172092.7501423849,249874.7420571765,216647.84325355926,254016.06610338265,249874.7420571765,174428.81088615677,249874.7420571765,249874.7420571765,245312.01397085705
2025-01-13,169729.7523959173,246442.74533018676,213672.84609074035,250527.06943075234,246442.74533018676,172033.81317020676,246442.74533018676,246442.74533018676,241943.01718378582
2025-01-14,172565.35814242496,250561.1536763629,217242.85332555213,250555.9481137424,250561.1536763629,174907.81899453423,250561.1536763629,250561.1536763629,245985.8253767542
2025-01-15,173983.15397339,250001.69970590016,219027.8480767671,250973.87367820696,252620.34762129394,176344.81476904175,252620.34762129394,252620.34762129394,248007.21943283596
2025-01-16,175637.2467620863,250076.86016123922,221110.33899778762,251156.22639570542,255022.73714766113,178021.3074600818,255022.73714766113,255022.73714766113,250365.5091514639
2025-01-17,174692.0589311613,249989.36111028708,219920.3543185655,251013.91847394756,253649.9548219165,177063.31979395173,253649.9548219165,253649.9548219165,249017.92650127926
2025-01-20,173983.15397339,248726.44450629049,219027.8480767671,249370.05589268092,252620.34762129394,176344.81476904175,252620.34762129394,252620.34762129394,248007.21943283596
2025-01-21,173983.15397339,248864.22543737243,218143.5199719509,249083.28123221218,252620.34762129394,176344.81476904175,252620.34762129394,252620.34762129394,248007.21943283596
2025-01-22,170674.95431141986,247516.65382294974,219927.3088198742,249164.67253991863,247815.54811224548,172991.81511164925,247815.54811224548,247815.54811224548,243290.61991477528
2025-01-23,174928.35588889255,245497.06167198406,218639.0076857647,247104.13844158762,253993.15040335266,177302.81671048424,253993.15040335266,253993.15040335266,249354.82216382542
2025-01-24,175400.94980435504,242916.45608822902,219530.91392336693,247805.85499634777,254679.54156622497,177781.81054354928,254679.54156622497,254679.54156622497,250028.61348891773
2025-01-27,177763.94755082263,241447.67109683744,217747.12507544365,245791.66758885418,258111.53829321472,180176.8082594993,258111.53829321472,258111.53829321472,253397.61027598896
2025-02-05,174928.35588889255,241362.3537974463,217350.7065516552,245344.0466724876,253993.15040335266,177302.81671048424,253993.15040335266,253993.15040335266,249354.82216382542
2025-02-06,174928.35588889255,241494.6377253061,217945.31071005668,246015.45136799847,253993.15040335266,177302.81671048424,253993.15040335266,253993.15040335266,249354.82216382542
2025-02-07,174455.7478888525,241425.45714516044,217292.0217593203,245278.07809664396,253306.73878416626,176823.8086021068,253306.73878416626,253306.73878416626,248681.01075792828
2025-02-10,173722.34138293107,241462.1333574243,217316.60518397784,245291.77736558227,252241.54575482968,176080.47022644797,252241.54575482968,252241.54575482968,247635.37109713725
2025-02-11,173727.72097197216,241469.62746701334,217323.352992197,245299.39585873295,252249.38191921325,176085.9431031603,252249.38191921325,252249.38191921325,247643.05178206877
2025-02-12,173839.0155924074,241583.03660799656,217436.01583181033,245412.9293832778,252363.13311499098,176197.3310112668,252363.13311499098,252363.13311499098,247756.64749839445
2025-02-13,174308.74535406398,242054.88089020108,217907.0827167546,245884.86695315357,252835.28835609963,176667.12296470423,252835.28835609963,252835.28835609963,248228.67835594143
2025-02-14,181127.6464462202,251521.37551285158,226431.1186296362,255499.1149509397,262719.9998455723,183578.73332423173,262719.9998455723,262719.9998455723,257934.95894114074
2025-02-17,184783.15748571567,256598.8908467425,231001.632432403,260656.13052491812,268022.51585895615,187283.74451321564,268022.51585895615,268022.51585895615,263141.4746646076
2025-02-18,185757.95946120433,257952.89359070192,232220.4349023718,262031.33331184057,269436.51872450905,188271.74651545487,269436.51872450905,269436.51872450905,264529.8774782806
2025-02-19,190144.5465624254,264045.87567426095,237705.0187749285,268219.7151148763,275799.5000141342,192717.7334420105,275799.5000141342,275799.5000141342,270777.6591066509
2025-02-20,191363.0599260252,265738.39423633943,239228.53548354094,269938.733967587,277567.0193987568,193952.74698656998,277567.0193987568,277567.0193987568,272513.17814032134
2025-02-21,199161.44667863063,276570.37583567033,248978.91892022078,280940.3152788129,288879.00018269615,201856.73355978928,288879.00018269615,288879.00018269615,283620.3592721611
2025-02-24,195993.3584153574,272169.8921380175,245017.83359474127,276470.931836411,284283.51720745163,198645.74545544587,284283.51720745163,284283.51720745163,279108.07598868903
2025-02-25,192825.25562643222,267769.38826419244,241056.7301077265,272001.52790193225,279688.0131619652,195434.7426287552,279688.0131619652,279688.0131619652,274595.77201644477
