,equity
2020-09-25,60898.04395747208
2020-09-28,61409.24076151871
2020-09-29,60898.04395747208
2020-09-30,61238.839569807285
2020-10-09,64760.44162821793
2020-10-12,65271.64520335219
2020-10-13,64135.639515638584
2020-10-14,64022.04097819353
2020-10-15,64022.04097819353
2020-10-16,64987.6454741957
2020-10-19,64930.842819929356
2020-10-20,65101.24401164078
2020-10-21,65044.441357374424
2020-10-22,65044.441357374424
2020-10-23,64249.2448241713
2020-10-26,64703.64574503922
2020-10-27,64476.441899061436
2020-10-28,64192.44216990494
2020-10-29,63567.640057325596
2020-10-30,63454.04151988053
2020-11-02,62886.04206156754
2020-11-03,63226.84444499039
2020-11-04,63738.04124903702
2020-11-05,65044.441357374424
2020-11-06,65044.441357374424
2020-11-09,64362.84336161637
2020-11-10,64573.4313690719
2020-11-11,65525.922122898824
2020-11-12,65544.36863738728
2020-11-13,65498.43759799433
2020-11-16,65750.55530856561
2020-11-17,65658.49320764375
2020-11-18,65363.77589127136
2020-11-19,65431.25103818966
2020-11-20,65331.372848625906
2020-11-23,65767.10863094401
2020-11-24,66252.91890625429
2020-11-25,66315.70801170303
2020-11-26,66995.34900950386
2020-11-27,67266.27835695934
2020-11-30,67253.93057702733
2020-12-01,68068.42980025962
2020-12-02,67688.3314573641
2020-12-03,67579.732855546
2020-12-04,67145.33197520925
2020-12-07,66982.43083594991
2020-12-08,66276.53021453573
2020-12-09,67579.732855546
2020-12-10,67362.52917884542
2020-12-11,67145.33197520925
2020-12-14,67199.62803958608
2020-12-15,67145.33197520925
2020-12-16,67579.732855546
2020-12-17,67905.52866100027
2020-12-18,67572.25198073818
2020-12-21,67498.70369519306
2020-12-22,66310.18409975362
2020-12-23,66496.1046733172
2020-12-24,66533.71426020814
2020-12-25,66797.79205018711
2020-12-28,67126.81998964501
2020-12-29,68270.860513515
2020-12-30,68582.42927153541
2020-12-31,69108.12548819733
2021-01-04,68598.42825858307
2021-01-05,69001.76281338526
2021-01-06,69754.75373107744
2021-01-07,70319.76956619573
2021-01-08,70858.84503053737
2021-01-11,70510.29833229425
2021-01-12,70543.19701968791
2021-01-13,70966.31875949504
2021-01-14,71352.10066558482
2021-01-15,72290.99400277736
2021-01-18,70657.59537118555
2021-01-19,70355.3179580794
2021-01-20,70454.706294962
2021-01-21,71216.16364734515
2021-01-22,71113.4210980831
2021-01-25,71314.27472888691
2021-01-26,66990.3535506819
2021-01-27,66213.43523227764
2021-01-28,64459.02913946224
2021-01-29,63811.0297574432
2021-02-01,64934.23074621273
2021-02-02,65884.62880987239
2021-02-03,65539.02810949397
2021-02-04,65409.43235296322
2021-02-05,66014.22971624446
2021-02-08,65927.83082861018
2021-02-09,65884.62880987239
2021-02-10,67094.2286862762
2021-02-18,68865.42905706477
2021-02-19,68563.03037542413
2021-02-22,68563.03037542413
2021-02-23,68908.63107580256
2021-02-24,66619.03222936702
2021-02-25,66653.8968096721
2021-02-26,64591.412404485556
2021-03-01,64656.26535648427
2021-03-02,64441.76896707616
2021-03-03,64428.19086254485
2021-03-04,63235.57939673157
2021-03-05,62583.974839694216
2021-03-08,63941.480018145754
2021-03-09,64538.77556467743
2021-03-10,64484.4795003006
2021-03-11,65516.17592716904
2021-03-12,65570.47846461029
2021-03-15,65950.5768075058
2021-03-16,66384.97768784256
2021-03-17,66113.47794676512
2021-03-18,66167.78048420639
2021-03-19,65353.2747879097
2021-03-22,65353.2747879097
2021-03-23,65624.77452898712
2021-03-24,65190.380121714785
2021-03-25,65190.380121714785
2021-03-26,65896.28074312897
2021-03-29,66384.97768784256
2021-03-30,66819.37856817932
2021-03-31,66493.57628966065
2021-04-01,67199.47691107483
2021-04-02,67851.07499504776
2021-04-06,68719.87675572129
2021-04-07,68611.2781539032
2021-04-08,68882.77789498062
2021-04-09,69045.67903423996
2021-04-12,69480.07991457672
2021-04-13,69480.07991457672
2021-04-14,69805.87572003098
2021-04-15,69642.97458077164
2021-04-16,70185.98053599091
2021-04-19,70077.37546110839
2021-04-20,69373.32430620701
2021-04-21,68893.53896855561
2021-04-22,69250.21867825935
2021-04-23,68456.44765754291
2021-04-26,69048.6459161813
2021-04-27,69640.84417481968
2021-04-28,69443.44671626636
