date,etfwin 策略,ye 策略
2020-08-19,67625.3596341759,97294.26739919654
2020-08-20,66944.95680691302,97297.2837005664
2020-08-21,67212.2606074959,97300.30000193627
2020-08-24,67090.7578265816,97311.28890604585
2020-08-25,67048.53791166087,97314.30520741572
2020-08-26,66542.94452951179,97317.32150878558
2020-08-27,66803.3411769651,97320.33781015544
2020-08-28,67910.04632995353,97323.3541115253
2020-08-31,66998.64254281746,97334.34301563489
2020-09-01,66838.16013825004,97337.35931700475
2020-09-02,66782.03174562995,97340.37561837462
2020-09-03,66147.19722575374,97343.39191974448
2020-09-04,66334.02708284341,97346.40822111434
2020-09-07,64915.029973907105,97357.39712522393
2020-09-08,65624.52468387567,97360.41342659379
2020-09-09,63109.0263139435,97363.42972796365
2020-09-10,61432.02868215524,97366.44602933351
2020-09-11,61766.198439953965,97369.46233070338
2020-09-14,61749.37355313331,97380.45123481296
2020-09-15,61799.23647568249,97383.46753618283
2020-09-16,60784.44542002701,97386.48383755269
2020-09-17,60898.04395747208,97389.50013892255
2020-09-18,62715.64086985611,97392.51644029241
2020-09-21,62147.641411543125,97403.505344402
2020-09-22,61409.24076151871,97406.52164577186
2020-09-23,61125.24103236222,97409.53794714173
2020-09-24,61182.043686628575,97412.55424851159
2020-09-25,60898.04395747208,97415.57054988145
2020-09-28,61409.24076151871,97426.55945399104
2020-09-29,60898.04395747208,97429.5757553609
2020-09-30,61238.839569807285,97432.59205673076
2020-10-09,64760.44162821793,97467.49876905953
2020-10-12,65271.64520335219,97478.48767316912
2020-10-13,64135.639515638584,97481.50397453898
2020-10-14,64022.04097819353,97484.52027590884
2020-10-15,64022.04097819353,97487.5365772787
2020-10-16,64987.6454741957,97490.55287864857
2020-10-19,64930.842819929356,97501.54178275816
2020-10-20,65101.24401164078,97504.55808412802
2020-10-21,65044.441357374424,97507.57438549788
2020-10-22,65044.441357374424,97510.59068686774
2020-10-23,64249.2448241713,97513.6069882376
2020-10-26,64703.64574503922,97524.59589234719
2020-10-27,64476.441899061436,97527.61219371705
2020-10-28,64192.44216990494,97530.62849508692
2020-10-29,63567.640057325596,97533.64479645678
2020-10-30,63454.04151988053,97536.66109782664
2020-11-02,62886.04206156754,97547.65000193623
2020-11-03,63226.84444499039,97638.11132614424
2020-11-04,63738.04124903702,97959.12670090124
2020-11-05,65044.441357374424,99267.63834891259
2020-11-06,65044.441357374424,99237.12130987832
2020-11-09,64362.84336161637,98197.92436564156
2020-11-10,64573.4313690719,98550.94838335052
2020-11-11,65525.922122898824,100547.07539538344
2020-11-12,65544.36863738728,100293.26084397007
2020-11-13,65498.43759799433,100300.66912276906
2020-11-16,65750.55530856561,100311.99788989234
2020-11-17,65658.49320764375,100315.10747893344
2020-11-18,65363.77589127136,100318.21706797453
2020-11-19,65431.25103818966,100321.32665701563
2020-11-20,65331.372848625906,100324.43624605672
2020-11-23,65767.10863094401,100335.76501318
2020-11-24,66252.91890625429,100338.8746022211
2020-11-25,66315.70801170303,100341.98419126219
2020-11-26,66995.34900950386,100345.09378030329
2020-11-27,67266.27835695934,100348.20336934438
2020-11-30,67253.93057702733,100359.53213646766
2020-12-01,68068.42980025962,100362.64172550876
2020-12-02,67688.3314573641,100365.75131454985
2020-12-03,67579.732855546,100368.86090359095
2020-12-04,67145.33197520925,100371.97049263204
2020-12-07,66982.43083594991,100383.29925975532
2020-12-08,66276.53021453573,100386.40884879642
2020-12-09,67579.732855546,100389.51843783751
2020-12-10,67362.52917884542,100392.6280268786
2020-12-11,67145.33197520925,100395.7376159197
2020-12-14,67199.62803958608,100407.06638304298
2020-12-15,67145.33197520925,100410.17597208408
2020-12-16,67579.732855546,100413.28556112517
2020-12-17,67905.52866100027,100416.39515016627
2020-12-18,67572.25198073818,100419.50473920736
2020-12-21,67498.70369519306,100430.83350633064
2020-12-22,66310.18409975362,100433.94309537174
2020-12-23,66496.1046733172,100437.05268441283
2020-12-24,66533.71426020814,100440.16227345393
2020-12-25,66797.79205018711,100443.27186249502
2020-12-28,67126.81998964501,100454.6006296183
2020-12-29,68270.860513515,100457.7102186594
2020-12-30,68582.42927153541,100460.81980770049
2020-12-31,69108.12548819733,100463.92939674159
2021-01-04,68598.42825858307,100479.36775290596
2021-01-05,69001.76281338526,100482.47734194706
2021-01-06,69754.75373107744,100485.58693098815
2021-01-07,70319.76956619573,100488.69652002925
2021-01-08,70858.84503053737,100491.80610907034
2021-01-11,70510.29833229425,100503.13487619362
2021-01-12,70543.19701968791,100506.24446523472
2021-01-13,70966.31875949504,100509.35405427581
2021-01-14,71352.10066558482,100512.4636433169
2021-01-15,72290.99400277736,100515.573232358
2021-01-18,70657.59537118555,100526.90199948128
2021-01-19,70355.3179580794,100530.01158852238
2021-01-20,70454.706294962,100533.12117756347
2021-01-21,71216.16364734515,100536.23076660457
2021-01-22,71113.4210980831,100539.34035564566
2021-01-25,71314.27472888691,100550.66912276894
2021-01-26,66990.3535506819,100553.77871181004
2021-01-27,66213.43523227764,100556.88830085113
2021-01-28,64459.02913946224,100559.99788989223
2021-01-29,63811.0297574432,100563.10747893332
2021-02-01,64934.23074621273,100574.4362460566
2021-02-02,65884.62880987239,100577.5458350977
2021-02-03,65539.02810949397,100580.6554241388
2021-02-04,65409.43235296322,100583.76501317989
2021-02-05,66014.22971624446,100586.87460222098
2021-02-08,65927.83082861018,100598.20336934426
2021-02-09,65884.62880987239,100601.31295838536
2021-02-10,67094.2286862762,100604.42254742645
2021-02-18,68865.42905706477,100636.29925975522
2021-02-19,68563.03037542413,100639.40884879632
2021-02-22,68563.03037542413,100650.7376159196
2021-02-23,68908.63107580256,100653.8472049607
2021-02-24,66619.03222936702,100656.95679400179
2021-02-25,66653.8968096721,100660.06638304288
2021-02-26,64591.412404485556,100663.17597208398
2021-03-01,64656.26535648427,100674.50473920726
2021-03-02,64441.76896707616,100677.61432824835
2021-03-03,64428.19086254485,100680.72391728945
2021-03-04,63235.57939673157,100683.83350633054
2021-03-05,62583.974839694216,100686.94309537164
2021-03-08,63941.480018145754,100698.27186249492
2021-03-09,64538.77556467743,100701.38145153601
2021-03-10,64484.4795003006,100704.49104057711
2021-03-11,65516.17592716904,100707.6006296182
2021-03-12,65570.47846461029,100710.7102186593
2021-03-15,65950.5768075058,100722.03898578258
2021-03-16,66384.97768784256,100725.14857482367
2021-03-17,66113.47794676512,100728.25816386477
2021-03-18,66167.78048420639,100731.36775290586
2021-03-19,65353.2747879097,100734.47734194696
2021-03-22,65353.2747879097,100745.80610907024
2021-03-23,65624.77452898712,100748.91569811133
2021-03-24,65190.380121714785,100752.02528715243
2021-03-25,65190.380121714785,100926.59958178761
2021-03-26,65896.28074312897,101507.43612119212
2021-03-29,66384.97768784256,102124.13166178223
2021-03-30,66819.37856817932,102792.13301552292
2021-03-31,66493.57628966065,102663.2449266521
2021-04-01,67199.47691107483,103028.91350229041
2021-04-02,67851.07499504776,103217.7855639702
2021-04-06,68719.87675572129,103233.68707081952
2021-04-07,68611.2781539032,103236.88994753185
2021-04-08,68882.77789498062,103240.09282424417
2021-04-09,69045.67903423996,103000.55910023894
2021-04-12,69480.07991457672,103143.28285842582
2021-04-13,69480.07991457672,102902.86599403812
2021-04-14,69805.87572003098,104057.8509829681
2021-04-15,69642.97458077164,102962.75083088095
2021-04-16,70185.98053599091,103695.75013183767
2021-04-19,70077.37546110839,104135.54446958716
2021-04-20,69373.32430620701,102669.5458676737
2021-04-21,68893.53896855561,101936.54656671698
2021-04-22,69250.21867825935,102816.14398025686
2021-04-23,68456.44765754291,101640.71510288471
2021-04-26,69048.6459161813,102332.32615995775
2021-04-27,69640.84417481968,102714.1229230967
2021-04-28,69443.44671626636,102469.23059979896
2021-04-29,69838.24751635143,102468.86758178346
2021-04-30,69246.04337473461,102472.03936260537
2021-05-06,67469.44859881946,102496.17004753687
2021-05-07,67243.0444533724,102499.34182835878
2021-05-10,68914.79511864322,102510.89717082454
2021-05-11,65602.31419623792,102514.06895164645
2021-05-12,65948.51661742627,102517.24073246836
2021-05-13,62544.215736994134,102520.41251329027
2021-05-14,63005.81667245327,102523.58429411218
2021-05-17,64852.21353591381,102535.13963657794
2021-05-18,65544.61149991449,102538.31141739985
2021-05-19,65948.51661742627,102541.48319822176
2021-05-20,63929.01166499555,102544.65497904367
2021-05-21,63648.556855141964,102547.82675986558
2021-05-24,63847.758248269405,102559.38210233134
2021-05-25,63582.15771001562,102562.55388315325
2021-05-26,64246.157076775875,102565.72566397516
2021-05-27,63864.35704511388,102568.89744479707
2021-05-28,63382.95631688818,102572.06922561898
2021-05-31,63847.758248269405,102583.62456808474
2021-06-01,64262.75587362036,102586.79634890665
2021-06-02,63266.75682347998,102589.96812972856
2021-06-03,62951.35593694433,102593.13991055047
2021-06-04,62254.15897649512,102596.31169137238
2021-06-07,62669.156601846065,102607.86703383813
2021-06-08,63017.75903981909,101182.95450565509
2021-06-09,62761.658579662115,102138.75169512919
2021-06-10,64829.558224036955,103572.4522268503
2021-06-11,65575.36074574258,101501.5598988264
2021-06-15,64999.062103584074,103253.85632869891
2021-06-16,60761.562103584074,100386.45526525668
2021-06-17,62693.85945256021,109147.95640465907
2021-06-18,65507.561618640684,110263.05154320887
2021-06-21,65846.56129534509,110740.95488545588
2021-06-22,65948.26200659538,110263.05154320887
2021-06-23,67812.76022846963,115360.65237877062
2021-06-24,66999.15857966212,113130.4526066511
2021-06-25,67948.35848267343,114723.46058246783
2021-06-28,69812.86074574258,116475.75701234034
2021-06-29,69914.56145699289,115201.35442969493
2021-06-30,71812.96126301553,120776.85860750369
2021-07-01,70897.66294415262,117431.55420181445
2021-07-02,70660.36397869851,115201.35442969493
2021-07-05,72490.96061642435,120936.15655657939
2021-07-06,72558.76378472116,118705.95678445986
2021-07-07,76931.86203892496,121414.0598988264
2021-07-08,77948.86106903816,125555.85404989413
2021-07-09,79304.8597758558,124281.45146724871
2021-07-12,83474.556607559,125555.85404989413
2021-07-13,83271.16326744821,119343.15807578257
2021-07-14,79643.85945256021,117909.45754406146
2021-07-15,81271.06275017526,118546.65883538417
2021-07-16,77440.35751278665,116635.05496141604
2021-07-19,76287.76022846963,116794.35291049174
2021-07-20,77982.75861199167,119821.05192300967
2021-07-21,82186.36106903816,124600.05686042002
2021-07-22,82762.65971119668,128741.86050650767
2021-07-23,81982.95964653757,129060.45640465907
2021-07-26,80423.55951721933,131609.25207493
2021-07-27,75677.56404335763,131449.9541258543
2021-07-28,76389.46093971994,128104.65921518496
2021-07-29,80626.96093971994,138140.55344221287
2021-07-30,80452.17463664475,140052.157316181
2021-08-02,84787.67845324936,136866.16035458737
2021-08-03,83453.6797254509,128104.65921518496
2021-08-04,85788.17749909821,133680.15389797383
2021-08-05,88789.67463664475,133680.15389797383
2021-08-06,89523.37711743773,132724.35670849972
2021-08-09,88923.07291917267,128901.15845558337
2021-08-10,92391.47597245636,128104.65921518496
2021-08-11,91991.27317361298,128582.55306241206
2021-08-12,89389.97883490982,130016.25359413317
2021-08-13,89056.47915296022,125077.96020266703
2021-08-16,87322.27762631836,126033.75739214114
2021-08-17,85854.87266473236,120298.95526525668
2021-08-18,88256.07355527344,120458.25321433238
2021-08-19,90056.97819880905,120277.65037363517
2021-08-20,89790.1736824936,120281.38188048449
2021-08-23,93725.47470025482,120294.97640103244
2021-08-24,93191.87361888352,120298.70790788176
2021-08-25,92258.07768992844,120302.43941473108
2021-08-26,91924.57800797882,120306.1709215804
2021-08-27,90390.47788075867,120309.90242842972
2021-08-30,92791.67877129975,120323.49694897767
2021-08-31,92971.83703773588,120327.22845582699
2021-09-01,92843.56843407244,120330.95996267631
2021-09-02,92714.94649302692,120334.69146952563
2021-09-03,92808.27623440475,120338.42297637495
2021-09-06,92862.71434206993,120352.0174969229
2021-09-07,92819.2047826758,120355.74900377222
2021-09-08,92555.07215167613,120359.48051062154
2021-09-09,92085.79563464971,120363.21201747085
2021-09-10,92325.35452323685,120366.94352432017
2021-09-13,92343.97059563485,120380.53804486812
2021-09-14,89560.48764318845,120384.26955171744
2021-09-15,89244.5967202904,120388.00105856676
2021-09-16,87404.59847505111,120391.73256541608
2021-09-17,88435.00275666735,120395.4640722654
2021-09-22,87772.598124099,120418.92160651197
2021-09-23,88876.59707124255,120422.65311336129
2021-09-24,87625.4000192406,120426.3846202106
2021-09-27,85270.19524629138,120439.97914075856
2021-09-28,86594.99573762438,120443.71064760788
